country,country_code,city,place_name,category,description,rating,entry_fee_usd,visit_duration_hrs,best_time_to_visit,tags,lat,lon,is_unesco,continent,nearest_airport_iata,nearest_airport_name,avg_flight_price_usd
United States,XX,Raleigh-durham,Raleigh-durham Scenic Lookout Point,Nature,Panoramic views of Raleigh-durham and its surroundings.,4.4,15,2,Sunset,"Views,Nature",35.87304902847578,-78.77398106552987,No,Unknown,RDU,Raleigh Durham International Airport,
United States,XX,Dayton,Dayton Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Dayton.",4.7,5,3,Evening,"Nightlife,Food",39.91456037335075,-84.22963416995066,No,Unknown,DAY,James M Cox Dayton International Airport,
United States,XX,Dayton,Dayton National Museum,Museum,Explore the deep history and culture of United States in Dayton.,4.3,5,2,Morning,"History,Culture",39.88774004346541,-84.21400006348772,No,Unknown,DAY,James M Cox Dayton International Airport,
United States,XX,Kenai,Kenai City Botanical Gardens,Park,A peaceful green oasis in the middle of Kenai.,4.2,15,1,Morning,"Nature,Relaxing",60.592809664374506,-151.25542767095374,No,Unknown,ENA,Kenai Municipal Airport,
United States,XX,Kenai,Kenai National Museum,Museum,Explore the deep history and culture of United States in Kenai.,4.4,25,1,Morning,"History,Culture",60.582305836765336,-151.2477291052958,No,Unknown,ENA,Kenai Municipal Airport,
United States,XX,Mcalester,Mcalester Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Mcalester.,4.8,25,2,Morning,"Architecture,Spiritual",34.88548628959271,-95.7889470594145,No,Unknown,MLC,Mc Alester Regional Airport,
United States,XX,Mcalester,Mcalester Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Mcalester.",4.3,5,1,Evening,"Nightlife,Food",34.87374380092675,-95.77751096214007,No,Unknown,MLC,Mc Alester Regional Airport,
United States,XX,Niagara Falls,Niagara Falls National Museum,Museum,Explore the deep history and culture of United States in Niagara Falls.,4.9,15,3,Morning,"History,Culture",43.12200761207997,-78.95002798255503,No,Unknown,IAG,Niagara Falls International Airport,
United States,XX,Niagara Falls,Niagara Falls Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Niagara Falls.,4.4,5,2,Morning,"Architecture,Spiritual",43.12113580888814,-78.94262813076168,No,Unknown,IAG,Niagara Falls International Airport,
United States,XX,Bryan,Bryan National Museum,Museum,Explore the deep history and culture of United States in Bryan.,4.8,15,2,Morning,"History,Culture",30.73002497036669,-96.34647764925874,No,Unknown,CFD,Coulter Field,
United States,XX,Bryan,Bryan City Botanical Gardens,Park,A peaceful green oasis in the middle of Bryan.,4.1,5,1,Morning,"Nature,Relaxing",30.71146890512465,-96.32966909268954,No,Unknown,CFD,Coulter Field,
United States,XX,Wright,Wright City Botanical Gardens,Park,A peaceful green oasis in the middle of Wright.,4.8,5,2,Morning,"Nature,Relaxing",31.89169980067455,-81.58165746188895,No,Unknown,LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport,
United States,XX,Wright,Wright Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Wright.",4.9,15,3,Evening,"Nightlife,Food",31.87626145930047,-81.5576542081297,No,Unknown,LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport,
United States,XX,Newport News,Newport News Central Square,Landmark,"The historic heart of Newport News, bustling with locals and cafes.",4.8,15,1,Afternoon,"Iconic,Free",37.13028603716627,-76.48202002571327,No,Unknown,PHF,Newport News Williamsburg International Airport,
United States,XX,Newport News,Newport News National Museum,Museum,Explore the deep history and culture of United States in Newport News.,4.7,5,3,Morning,"History,Culture",37.12585883436298,-76.48968386006051,No,Unknown,PHF,Newport News Williamsburg International Airport,
United States,XX,Alexandria,Alexandria National Museum,Museum,Explore the deep history and culture of United States in Alexandria.,4.4,25,1,Morning,"History,Culture",31.3970965832479,-92.30114829280073,No,Unknown,ESF,Esler Regional Airport,
United States,XX,Alexandria,Alexandria Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Alexandria.",4.8,10,1,Evening,"Nightlife,Food",31.410200032222825,-92.28084997004437,No,Unknown,ESF,Esler Regional Airport,
United States,XX,Altus,Altus City Botanical Gardens,Park,A peaceful green oasis in the middle of Altus.,4.6,25,2,Morning,"Nature,Relaxing",34.65642987986693,-99.26786322698814,No,Unknown,LTS,Altus Air Force Base,
United States,XX,Altus,Altus Scenic Lookout Point,Nature,Panoramic views of Altus and its surroundings.,4.2,0,3,Sunset,"Views,Nature",34.65485105970436,-99.26277721522813,No,Unknown,LTS,Altus Air Force Base,
United States,XX,Altus,Altus National Museum,Museum,Explore the deep history and culture of United States in Altus.,4.8,5,3,Morning,"History,Culture",34.652547701401446,-99.26232447262939,No,Unknown,LTS,Altus Air Force Base,
United States,XX,Marysville,Marysville City Botanical Gardens,Park,A peaceful green oasis in the middle of Marysville.,4.2,25,1,Morning,"Nature,Relaxing",39.14263889713611,-121.42192769300097,No,Unknown,BAB,Beale Air Force Base,
United States,XX,Marysville,Marysville National Museum,Museum,Explore the deep history and culture of United States in Marysville.,4.6,15,2,Morning,"History,Culture",39.15263484578013,-121.42129966852814,No,Unknown,BAB,Beale Air Force Base,
United States,XX,Kankakee,Kankakee National Museum,Museum,Explore the deep history and culture of United States in Kankakee.,4.9,0,1,Morning,"History,Culture",41.06456872788198,-87.8466102521442,No,Unknown,IKK,Greater Kankakee Airport,
United States,XX,Kankakee,Kankakee Central Square,Landmark,"The historic heart of Kankakee, bustling with locals and cafes.",4.8,0,2,Afternoon,"Iconic,Free",41.08117048096581,-87.83642185101816,No,Unknown,IKK,Greater Kankakee Airport,
United States,XX,Goldsboro,Goldsboro City Botanical Gardens,Park,A peaceful green oasis in the middle of Goldsboro.,4.9,5,3,Morning,"Nature,Relaxing",35.329198737768635,-77.96704588627091,No,Unknown,GSB,Seymour Johnson Air Force Base,
United States,XX,Goldsboro,Goldsboro Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Goldsboro.,4.5,25,3,Morning,"Architecture,Spiritual",35.322634898325674,-77.96101627171436,No,Unknown,GSB,Seymour Johnson Air Force Base,
United States,XX,Providence,Providence National Museum,Museum,Explore the deep history and culture of United States in Providence.,4.8,5,3,Morning,"History,Culture",41.71550516507157,-71.43197289439364,No,Unknown,PVD,Theodore Francis Green State Airport,
United States,XX,Providence,Providence Central Square,Landmark,"The historic heart of Providence, bustling with locals and cafes.",4.0,25,1,Afternoon,"Iconic,Free",41.747593460764904,-71.42136875503058,No,Unknown,PVD,Theodore Francis Green State Airport,
United States,XX,Salisbury,Salisbury Scenic Lookout Point,Nature,Panoramic views of Salisbury and its surroundings.,4.5,5,2,Sunset,"Views,Nature",38.34021937347792,-75.5081695876535,No,Unknown,SBY,Salisbury Ocean City Wicomico Regional Airport,
United States,XX,Salisbury,Salisbury Central Square,Landmark,"The historic heart of Salisbury, bustling with locals and cafes.",4.1,10,2,Afternoon,"Iconic,Free",38.35397606956949,-75.51112640106399,No,Unknown,SBY,Salisbury Ocean City Wicomico Regional Airport,
United States,XX,Burbank,Burbank City Botanical Gardens,Park,A peaceful green oasis in the middle of Burbank.,4.5,25,1,Morning,"Nature,Relaxing",34.18745316098648,-118.37898661938627,No,Unknown,BUR,Bob Hope Airport,
United States,XX,Burbank,Burbank Scenic Lookout Point,Nature,Panoramic views of Burbank and its surroundings.,4.9,0,3,Sunset,"Views,Nature",34.19142910318587,-118.35537474353201,No,Unknown,BUR,Bob Hope Airport,
United States,XX,Burbank,Burbank Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Burbank.",4.3,10,1,Evening,"Nightlife,Food",34.21844153591114,-118.34093622049222,No,Unknown,BUR,Bob Hope Airport,
United States,XX,Detroit,Detroit City Botanical Gardens,Park,A peaceful green oasis in the middle of Detroit.,4.2,5,2,Morning,"Nature,Relaxing",42.19549752308053,-83.34179478310624,No,Unknown,DTW,Detroit Metropolitan Wayne County Airport,
United States,XX,Detroit,Detroit National Museum,Museum,Explore the deep history and culture of United States in Detroit.,4.6,15,1,Morning,"History,Culture",42.217400123830124,-83.33400567749946,No,Unknown,DTW,Detroit Metropolitan Wayne County Airport,
United States,XX,Tampa,Tampa Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Tampa.,4.2,15,1,Morning,"Architecture,Spiritual",27.97520298572743,-82.5442297295367,No,Unknown,TPA,Tampa International Airport,
United States,XX,Tampa,Tampa Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Tampa.",4.9,0,3,Evening,"Nightlife,Food",27.984383939646015,-82.55145185193004,No,Unknown,TPA,Tampa International Airport,
United States,XX,Pembina,Pembina City Botanical Gardens,Park,A peaceful green oasis in the middle of Pembina.,4.2,25,3,Morning,"Nature,Relaxing",48.9461373579296,-97.2253007970244,No,Unknown,PMB,Pembina Municipal Airport,
United States,XX,Pembina,Pembina Central Square,Landmark,"The historic heart of Pembina, bustling with locals and cafes.",4.7,25,3,Afternoon,"Iconic,Free",48.953041188054904,-97.25926826415832,No,Unknown,PMB,Pembina Municipal Airport,
United States,XX,Pembina,Pembina Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Pembina.,4.6,15,2,Morning,"Architecture,Spiritual",48.94655495727288,-97.22907951475902,No,Unknown,PMB,Pembina Municipal Airport,
United States,XX,Fort Polk,Fort Polk Central Square,Landmark,"The historic heart of Fort Polk, bustling with locals and cafes.",4.7,10,3,Afternoon,"Iconic,Free",31.0520518942894,-93.19068314321655,No,Unknown,POE,Polk Army Air Field,
United States,XX,Fort Polk,Fort Polk National Museum,Museum,Explore the deep history and culture of United States in Fort Polk.,4.5,10,1,Morning,"History,Culture",31.037230480213434,-93.20547615383155,No,Unknown,POE,Polk Army Air Field,
United States,XX,Fort Polk,Fort Polk Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Fort Polk.,4.3,5,2,Morning,"Architecture,Spiritual",31.054885520508947,-93.19316985314424,No,Unknown,POE,Polk Army Air Field,
United States,XX,Fairbanks,Fairbanks City Botanical Gardens,Park,A peaceful green oasis in the middle of Fairbanks.,4.7,15,3,Morning,"Nature,Relaxing",64.67434009705508,-147.09954957185388,No,Unknown,EIL,Eielson Air Force Base,
United States,XX,Fairbanks,Fairbanks National Museum,Museum,Explore the deep history and culture of United States in Fairbanks.,4.6,15,1,Morning,"History,Culture",64.65462736317203,-147.10701817529971,No,Unknown,EIL,Eielson Air Force Base,
United States,XX,Hibbing,Hibbing City Botanical Gardens,Park,A peaceful green oasis in the middle of Hibbing.,4.3,25,3,Morning,"Nature,Relaxing",47.37038413794555,-92.85130058871856,No,Unknown,HIB,Range Regional Airport,
United States,XX,Hibbing,Hibbing Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Hibbing.",4.2,15,2,Evening,"Nightlife,Food",47.37697521249547,-92.82524569679437,No,Unknown,HIB,Range Regional Airport,
United States,XX,Hibbing,Hibbing Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Hibbing.,4.1,5,2,Morning,"Architecture,Spiritual",47.376972894165355,-92.84011366839411,No,Unknown,HIB,Range Regional Airport,
United States,XX,Lufkin,Lufkin Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Lufkin.",4.0,10,2,Evening,"Nightlife,Food",31.25195172871404,-94.73286774189049,No,Unknown,LFK,Angelina County Airport,
United States,XX,Lufkin,Lufkin Scenic Lookout Point,Nature,Panoramic views of Lufkin and its surroundings.,4.5,10,1,Sunset,"Views,Nature",31.253596683416152,-94.73172880869957,No,Unknown,LFK,Angelina County Airport,
United States,XX,Lufkin,Lufkin City Botanical Gardens,Park,A peaceful green oasis in the middle of Lufkin.,4.8,25,1,Morning,"Nature,Relaxing",31.253137942569953,-94.73271984227262,No,Unknown,LFK,Angelina County Airport,
United States,XX,Midland,Midland Central Square,Landmark,"The historic heart of Midland, bustling with locals and cafes.",4.7,15,1,Afternoon,"Iconic,Free",31.92382433172868,-102.1836616793882,No,Unknown,MAF,Midland International Airport,
United States,XX,Midland,Midland National Museum,Museum,Explore the deep history and culture of United States in Midland.,4.6,5,1,Morning,"History,Culture",31.931729382696382,-102.21071628665524,No,Unknown,MAF,Midland International Airport,
United States,XX,Green Bay,Green Bay Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Green Bay.",4.2,10,3,Evening,"Nightlife,Food",44.472915895130306,-88.1350169325826,No,Unknown,GRB,Austin Straubel International Airport,
United States,XX,Green Bay,Green Bay City Botanical Gardens,Park,A peaceful green oasis in the middle of Green Bay.,4.8,10,2,Morning,"Nature,Relaxing",44.474758193629,-88.11463350814127,No,Unknown,GRB,Austin Straubel International Airport,
United States,XX,Green Bay,Green Bay Central Square,Landmark,"The historic heart of Green Bay, bustling with locals and cafes.",4.7,0,2,Afternoon,"Iconic,Free",44.50140152052547,-88.12047306139901,No,Unknown,GRB,Austin Straubel International Airport,
United States,XX,Ardmore,Ardmore National Museum,Museum,Explore the deep history and culture of United States in Ardmore.,4.4,0,3,Morning,"History,Culture",34.308663458210454,-97.01006398027741,No,Unknown,ADM,Ardmore Municipal Airport,
United States,XX,Ardmore,Ardmore City Botanical Gardens,Park,A peaceful green oasis in the middle of Ardmore.,4.2,5,1,Morning,"Nature,Relaxing",34.28931691619648,-97.00258498484737,No,Unknown,ADM,Ardmore Municipal Airport,
United States,XX,Ardmore,Ardmore Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Ardmore.,4.9,15,1,Morning,"Architecture,Spiritual",34.3085910865504,-97.0139150153467,No,Unknown,ADM,Ardmore Municipal Airport,
United States,XX,Wrightstown,Wrightstown Central Square,Landmark,"The historic heart of Wrightstown, bustling with locals and cafes.",4.1,15,1,Afternoon,"Iconic,Free",40.00620242653358,-74.58208319016668,No,Unknown,WRI,Mc Guire Air Force Base,
United States,XX,Wrightstown,Wrightstown National Museum,Museum,Explore the deep history and culture of United States in Wrightstown.,4.3,0,1,Morning,"History,Culture",40.01276225798237,-74.59533941394844,No,Unknown,WRI,Mc Guire Air Force Base,
United States,XX,Bush Field,Bush Field Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Bush Field.,4.3,15,1,Morning,"Architecture,Spiritual",33.35350242274525,-81.98275851838164,No,Unknown,AGS,Augusta Regional At Bush Field,
United States,XX,Bush Field,Bush Field City Botanical Gardens,Park,A peaceful green oasis in the middle of Bush Field.,4.6,10,1,Morning,"Nature,Relaxing",33.37534859531943,-81.98079473158732,No,Unknown,AGS,Augusta Regional At Bush Field,
United States,XX,Bush Field,Bush Field National Museum,Museum,Explore the deep history and culture of United States in Bush Field.,4.7,15,2,Morning,"History,Culture",33.3749823418866,-81.95536341409877,No,Unknown,AGS,Augusta Regional At Bush Field,
United States,XX,Williston,Williston Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Williston.,4.8,15,3,Morning,"Architecture,Spiritual",48.174354638591936,-103.62435012497211,No,Unknown,ISN,Sloulin Field International Airport,
United States,XX,Williston,Williston Central Square,Landmark,"The historic heart of Williston, bustling with locals and cafes.",4.6,0,3,Afternoon,"Iconic,Free",48.16129150394802,-103.64558083746299,No,Unknown,ISN,Sloulin Field International Airport,
United States,XX,Little Rock,Little Rock Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Little Rock.,4.6,25,2,Morning,"Architecture,Spiritual",34.715288869087814,-92.21459402638718,No,Unknown,LIT,Bill & Hillary Clinton National Airport/Adams Field,
United States,XX,Little Rock,Little Rock Scenic Lookout Point,Nature,Panoramic views of Little Rock and its surroundings.,4.4,15,3,Sunset,"Views,Nature",34.730410615888765,-92.21737943076076,No,Unknown,LIT,Bill & Hillary Clinton National Airport/Adams Field,
United States,XX,Little Rock,Little Rock Central Square,Landmark,"The historic heart of Little Rock, bustling with locals and cafes.",4.7,5,3,Afternoon,"Iconic,Free",34.72631781182879,-92.22298115264512,No,Unknown,LIT,Bill & Hillary Clinton National Airport/Adams Field,
United States,XX,Newburgh,Newburgh City Botanical Gardens,Park,A peaceful green oasis in the middle of Newburgh.,4.5,10,1,Morning,"Nature,Relaxing",41.51099470227558,-74.09504989908883,No,Unknown,SWF,Stewart International Airport,
United States,XX,Newburgh,Newburgh Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Newburgh.,4.2,0,1,Morning,"Architecture,Spiritual",41.48757084664969,-74.12326839000575,No,Unknown,SWF,Stewart International Airport,
United States,XX,Newburgh,Newburgh Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Newburgh.",4.7,15,2,Evening,"Nightlife,Food",41.48489020813271,-74.11561745191804,No,Unknown,SWF,Stewart International Airport,
United States,XX,Baudette,Baudette City Botanical Gardens,Park,A peaceful green oasis in the middle of Baudette.,4.1,0,1,Morning,"Nature,Relaxing",48.741847214287844,-94.61871179428853,No,Unknown,BDE,Baudette International Airport,
United States,XX,Baudette,Baudette Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Baudette.,4.6,5,1,Morning,"Architecture,Spiritual",48.72188293415855,-94.59225054772901,No,Unknown,BDE,Baudette International Airport,
United States,XX,Homer,Homer City Botanical Gardens,Park,A peaceful green oasis in the middle of Homer.,4.4,15,3,Morning,"Nature,Relaxing",59.64628692595318,-151.470201587852,No,Unknown,HOM,Homer Airport,
United States,XX,Homer,Homer Scenic Lookout Point,Nature,Panoramic views of Homer and its surroundings.,4.6,0,2,Sunset,"Views,Nature",59.66526394068654,-151.48594285107907,No,Unknown,HOM,Homer Airport,
United States,XX,Homer,Homer National Museum,Museum,Explore the deep history and culture of United States in Homer.,4.3,15,3,Morning,"History,Culture",59.64763505672094,-151.49351414574082,No,Unknown,HOM,Homer Airport,
United States,XX,Fort Leonardwood,Fort Leonardwood National Museum,Museum,Explore the deep history and culture of United States in Fort Leonardwood.,4.3,0,1,Morning,"History,Culture",37.74951519183463,-92.14829319454087,No,Unknown,TBN,Waynesville-St. Robert Regional Forney field,
United States,XX,Fort Leonardwood,Fort Leonardwood City Botanical Gardens,Park,A peaceful green oasis in the middle of Fort Leonardwood.,4.5,0,2,Morning,"Nature,Relaxing",37.74334321147975,-92.13631971468259,No,Unknown,TBN,Waynesville-St. Robert Regional Forney field,
United States,XX,Marietta,Marietta National Museum,Museum,Explore the deep history and culture of United States in Marietta.,4.3,5,2,Morning,"History,Culture",33.93259203791534,-84.51159973631906,No,Unknown,MGE,Dobbins Air Reserve Base,
United States,XX,Marietta,Marietta Scenic Lookout Point,Nature,Panoramic views of Marietta and its surroundings.,4.7,25,3,Sunset,"Views,Nature",33.92140069521818,-84.52530052663181,No,Unknown,MGE,Dobbins Air Reserve Base,
United States,XX,Marietta,Marietta Central Square,Landmark,"The historic heart of Marietta, bustling with locals and cafes.",4.7,10,1,Afternoon,"Iconic,Free",33.908610424245296,-84.51397488987678,No,Unknown,MGE,Dobbins Air Reserve Base,
United States,XX,Houghton Lake,Houghton Lake Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Houghton Lake.",4.5,25,3,Evening,"Nightlife,Food",44.34616494236521,-84.68409206539597,No,Unknown,HTL,Roscommon County - Blodgett Memorial Airport,
United States,XX,Houghton Lake,Houghton Lake Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Houghton Lake.,4.3,0,3,Morning,"Architecture,Spiritual",44.37776037098095,-84.68926647040551,No,Unknown,HTL,Roscommon County - Blodgett Memorial Airport,
United States,XX,Panama City,Panama City Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Panama City.,4.8,25,2,Morning,"Architecture,Spiritual",30.07186013427986,-85.56114112169374,No,Unknown,PAM,Tyndall Air Force Base,
United States,XX,Panama City,Panama City Central Square,Landmark,"The historic heart of Panama City, bustling with locals and cafes.",4.3,15,3,Afternoon,"Iconic,Free",30.08901085146648,-85.56575038816484,No,Unknown,PAM,Tyndall Air Force Base,
United States,XX,Panama City,Panama City Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Panama City.",4.1,0,3,Evening,"Nightlife,Food",30.062172468575223,-85.59166966832989,No,Unknown,PAM,Tyndall Air Force Base,
United States,XX,Dallas-Fort Worth,Dallas-Fort Worth Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Dallas-Fort Worth.,4.2,5,2,Morning,"Architecture,Spiritual",32.89170686865417,-97.02478455054843,No,Unknown,DFW,Dallas Fort Worth International Airport,
United States,XX,Dallas-Fort Worth,Dallas-Fort Worth City Botanical Gardens,Park,A peaceful green oasis in the middle of Dallas-Fort Worth.,4.7,0,3,Morning,"Nature,Relaxing",32.881642919205,-97.04274504925023,No,Unknown,DFW,Dallas Fort Worth International Airport,
United States,XX,Melbourne,Melbourne Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Melbourne.,4.6,5,3,Morning,"Architecture,Spiritual",28.106955594344974,-80.64979111066027,No,Unknown,MLB,Melbourne International Airport,
United States,XX,Melbourne,Melbourne City Botanical Gardens,Park,A peaceful green oasis in the middle of Melbourne.,4.8,10,1,Morning,"Nature,Relaxing",28.101498574841507,-80.65470391086784,No,Unknown,MLB,Melbourne International Airport,
United States,XX,Tacoma,Tacoma Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Tacoma.",4.9,0,3,Evening,"Nightlife,Food",47.14342986146776,-122.4623766323072,No,Unknown,TCM,McChord Air Force Base,
United States,XX,Tacoma,Tacoma Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Tacoma.,4.1,10,1,Morning,"Architecture,Spiritual",47.136787725882414,-122.48143948531676,No,Unknown,TCM,McChord Air Force Base,
United States,XX,Austin,Austin City Botanical Gardens,Park,A peaceful green oasis in the middle of Austin.,4.6,15,3,Morning,"Nature,Relaxing",30.19915913572378,-97.65921381689395,No,Unknown,AUS,Austin Bergstrom International Airport,
United States,XX,Austin,Austin Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Austin.",4.0,0,2,Evening,"Nightlife,Food",30.191705055017216,-97.66155435128498,No,Unknown,AUS,Austin Bergstrom International Airport,
United States,XX,Austin,Austin Central Square,Landmark,"The historic heart of Austin, bustling with locals and cafes.",4.2,0,3,Afternoon,"Iconic,Free",30.20421457642755,-97.68727445468318,No,Unknown,AUS,Austin Bergstrom International Airport,
United States,XX,Columbus,Columbus Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Columbus.",4.8,25,2,Evening,"Nightlife,Food",39.79475316841978,-82.94310388528262,No,Unknown,LCK,Rickenbacker International Airport,
United States,XX,Columbus,Columbus National Museum,Museum,Explore the deep history and culture of United States in Columbus.,4.2,25,1,Morning,"History,Culture",39.82895300289975,-82.93046981009296,No,Unknown,LCK,Rickenbacker International Airport,
United States,XX,Columbus,Columbus City Botanical Gardens,Park,A peaceful green oasis in the middle of Columbus.,4.5,15,2,Morning,"Nature,Relaxing",39.801452598422124,-82.94501016589177,No,Unknown,LCK,Rickenbacker International Airport,
United States,XX,Gwinn,Gwinn Scenic Lookout Point,Nature,Panoramic views of Gwinn and its surroundings.,4.7,5,1,Sunset,"Views,Nature",46.353596737884,-87.37690274303127,No,Unknown,MQT,Sawyer International Airport,
United States,XX,Gwinn,Gwinn City Botanical Gardens,Park,A peaceful green oasis in the middle of Gwinn.,4.6,5,1,Morning,"Nature,Relaxing",46.35791454610973,-87.39409350031976,No,Unknown,MQT,Sawyer International Airport,
United States,XX,Knoxville,Knoxville Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Knoxville.,4.5,0,1,Morning,"Architecture,Spiritual",35.804013450232745,-83.99921315258418,No,Unknown,TYS,McGhee Tyson Airport,
United States,XX,Knoxville,Knoxville City Botanical Gardens,Park,A peaceful green oasis in the middle of Knoxville.,4.0,15,1,Morning,"Nature,Relaxing",35.80800433716919,-83.99375613165606,No,Unknown,TYS,McGhee Tyson Airport,
United States,XX,Fort Hood,Fort Hood Scenic Lookout Point,Nature,Panoramic views of Fort Hood and its surroundings.,4.0,10,2,Sunset,"Views,Nature",31.120849769548553,-97.69556291534217,No,Unknown,HLR,Hood Army Air Field,
United States,XX,Fort Hood,Fort Hood National Museum,Museum,Explore the deep history and culture of United States in Fort Hood.,4.4,0,3,Morning,"History,Culture",31.15371742655992,-97.71898615523737,No,Unknown,HLR,Hood Army Air Field,
United States,XX,Fort Hood,Fort Hood City Botanical Gardens,Park,A peaceful green oasis in the middle of Fort Hood.,4.9,25,2,Morning,"Nature,Relaxing",31.150030718243524,-97.72235451263317,No,Unknown,HLR,Hood Army Air Field,
United States,XX,St. Louis,St. Louis Scenic Lookout Point,Nature,Panoramic views of St. Louis and its surroundings.,4.4,0,3,Sunset,"Views,Nature",38.746950654917704,-90.35158141702094,No,Unknown,STL,St Louis Lambert International Airport,
United States,XX,St. Louis,St. Louis Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of St. Louis.,4.1,5,3,Morning,"Architecture,Spiritual",38.76230553033803,-90.38390171719108,No,Unknown,STL,St Louis Lambert International Airport,
United States,XX,St. Louis,St. Louis National Museum,Museum,Explore the deep history and culture of United States in St. Louis.,4.1,25,2,Morning,"History,Culture",38.73617100961962,-90.3589188387616,No,Unknown,STL,St Louis Lambert International Airport,
United States,XX,Millville,Millville Central Square,Landmark,"The historic heart of Millville, bustling with locals and cafes.",4.7,0,2,Afternoon,"Iconic,Free",39.351950092138985,-75.05551064834745,No,Unknown,MIV,Millville Municipal Airport,
United States,XX,Millville,Millville Grand Cathedral/Temple,Spiritual,An architectural marvel and spiritual center of Millville.,4.8,5,3,Morning,"Architecture,Spiritual",39.354546037594126,-75.06128156381622,No,Unknown,MIV,Millville Municipal Airport,
United States,XX,Millville,Millville Downtown Entertainment District,Entertainment,"The best place for food, music, and nightlife in Millville.",4.7,25,2,Evening,"Nightlife,Food",39.36232655326895,-75.0624951515742,No,Unknown,MIV,Millville Municipal Airport,
United States,XX,Wichita Falls,Wichita Falls City Botanical Gardens,Park,A peaceful green oasis in the middle of Wichita Falls.,4.7,25,1,Morning,"Nature,Relaxing",33.99218892266121,-98.48368966633171,No,Unknown,SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,
United States,XX,Wichita Falls,Wichita Falls Scenic Lookout Point,Nature,Panoramic views of Wichita Falls and its surroundings.,4.7,0,3,Sunset,"Views,Nature",33.99250936078982,-98.47865236251238,No,Unknown,SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,
United States,XX,Wichita Falls,Wichita Falls Central Square,Landmark,"The historic heart of Wichita Falls, bustling with locals and cafes.",4.0,25,2,Afternoon,"Iconic,Free",33.987939951392896,-98.50776762603947,No,Unknown,SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,
United States,XX,Atlanta,Atlanta Central Square,Landmark,"The historic heart of Atlanta, bustling with locals and cafes.",4.3,5,2,Afternoon,"Iconic,Free",33.63584342858377,-84.41276991415319,No,Unknown,ATL,Hartsfield Jackson Atlanta International Airport,
United States,XX,Atlanta,Atlanta City Botanical Gardens,Park,A peaceful green oasis in the middle of Atlanta.,4.1,5,1,Morning,"Nature,Relaxing",33.62939465738294,-84.42001861489267,No,Unknown,ATL,Hartsfield Jackson Atlanta International Airport,
United States,XX,Atlanta,Atlanta Scenic Lookout Point,Nature,Panoramic views of Atlanta and its surroundings.,4.7,25,2,Sunset,"Views,Nature",33.630745234465024,-84.41703354106417,No,Unknown,ATL,Hartsfield Jackson Atlanta International Airport,
United States,XX,Merced,Merced Scenic Lookout Point,Nature,Panoramic views of Merced and its surroundings.,4.4,25,1,Sunset,"Views,Nature",37.388669973774995,-120.55014755607868,No,Unknown,MER,Castle Airport,
United States,XX,Merced,Merced National Museum,Museum,Explore the deep history and culture of United States in Merced.,4.6,0,3,Morning,"History,Culture",37.36136095093608,-120.57504175528143,No,Unknown,MER,Castle Airport,
